Date,Close,High,Low,Open,Volume
,JPM,JPM,JPM,JPM,JPM
2020-06-23,85.21507263183594,86.99020615214582,85.14545799053337,86.12004305231652,15381400
2020-06-24,82.36964416503906,84.26659339427694,82.06508176183989,84.18828190007218,22919800
2020-06-25,85.24116516113281,85.45870590724805,82.02156477415413,82.0998762561236,25743600
2020-06-26,80.56838989257812,82.98744863648322,80.0549969034166,82.76120439506136,41896300
2020-06-29,80.92516326904297,82.22170434857065,80.21162983695463,81.27322981516788,18499700
2020-06-30,81.84751892089844,82.36962196347568,80.55097807981447,80.77722228901021,19137000
2020-07-01,81.15139770507812,83.28329425417535,80.95125730764649,82.56976090838454,18755700
2020-07-02,81.41499328613281,83.43586641875945,80.77358150052216,83.24256405313683,27845600
2020-07-06,83.47101593017578,83.6467417033622,82.13548262483673,82.97019010273506,18625300
2020-07-07,81.11624145507812,82.68022337934674,80.83507624064228,82.43420465465381,25757200
2020-07-08,81.97734069824219,82.01248049605263,80.65937706453096,81.08990997456058,18762200
2020-07-09,80.20248413085938,82.69783224834234,79.76316289289147,82.17064139997277,25600800
2020-07-10,84.58688354492188,85.08770934203392,80.72086314086802,80.83508421617141,28954200
2020-07-13,85.79943084716797,87.22282723076191,84.5517602604221,86.74836623857023,32079200
2020-07-14,86.29144287109375,87.82027830187458,84.91197499372385,86.43202882972106,42731700
2020-07-15,87.62700653076172,88.99768648316906,86.67807116209079,88.6462281943825,22508400
2020-07-16,87.87300872802734,88.93616499079731,86.59019191418487,86.79227586720708,16886900
2020-07-17,86.2475357055664,87.93452739722069,86.22995910472113,87.86423440085782,16137700
2020-07-20,85.49190521240234,86.4496221772337,85.45675871321001,85.60612630714547,14458100
2020-07-21,87.34583282470703,87.90816335118154,85.79063222530984,85.85213691715833,17798100
2020-07-22,86.71322631835938,87.97846689939361,85.69399784947433,87.5567222735522,14271200
2020-07-23,86.96802520751953,87.29311859595057,86.08059453198615,86.54627391807011,12870200
