Date,Close,High,Low,Open,Volume
,MA,MA,MA,MA,MA
2023-04-14,368.0909118652344,369.03974888232534,364.80958504568684,365.6892303749017,2254600
2023-04-17,368.4171142578125,369.74149877060427,364.0980324136865,369.01009973963824,2432700
2023-04-18,367.9822082519531,369.59322239150885,365.6496882853864,369.59322239150885,2087800
2023-04-19,368.45660400390625,369.79088158055185,366.83572684923126,368.64439278235403,1795300
2023-04-20,370.6309509277344,370.8187396891663,365.38281907555955,367.1223233237614,2124800
2023-04-21,370.8681945800781,373.03268203532775,368.91128220170805,371.3426131189096,3537800
2023-04-24,370.3641052246094,373.24020500557083,369.267021932355,370.77919499636323,1886300
2023-04-25,364.2363586425781,370.2158597166893,364.0288137393218,369.1484557664874,2245000
2023-04-26,362.48699951171875,367.88337825316245,361.8247922083456,365.33345032629074,2594200
2023-04-27,369.3164978027344,370.611232978383,356.7940988461764,362.3090746927838,3859900
2023-04-28,375.6024169921875,377.48027479836657,367.1816910585474,368.18979657672025,3107300
2023-05-01,375.4343566894531,378.0040709434002,374.5448483374788,376.05702158444336,1745100
2023-05-02,371.64898681640625,374.426245942003,366.6182924887801,373.36870494999977,2478700
2023-05-03,370.5321350097656,375.1279530793772,369.96876868740634,372.2815325200364,1970900
2023-05-04,371.7379455566406,372.45945142661395,367.80433452288605,370.1368244663156,2814900
2023-05-05,380.1784362792969,380.66271777288426,373.8332206535202,376.13609135826584,2682800
2023-05-08,381.0185241699219,382.9457870856773,379.29877598663273,379.53600031379074,1719600
2023-05-09,378.4784851074219,381.6708642195332,378.24129092617227,379.4075358666858,2036400
2023-05-10,378.0831298828125,382.2539649170397,373.25008758094583,381.492916692167,1940800
2023-05-11,378.9232482910156,381.2260888625076,374.8413609025605,377.75697320715227,1901200
2023-05-12,377.4703674316406,380.53422604682777,374.3866923652803,380.01040213887387,2044000
2023-05-15,378.9429931640625,379.1900804789112,376.0965424710809,377.42092685922705,1957400
